time,open,high,low,close,tick_volume,spread,real_volume,symbol
2024-01-02 00:00:00,1.10423,1.10443,1.10416,1.10434,179,5,0,EURUSD
2024-01-02 01:00:00,1.10438,1.10442,1.10355,1.10364,945,2,0,EURUSD
2024-01-02 02:00:00,1.10364,1.10383,1.10341,1.10381,1071,2,0,EURUSD
2024-01-02 03:00:00,1.10381,1.10433,1.10342,1.10349,2374,2,0,EURUSD
2024-01-02 04:00:00,1.10349,1.1036,1.10182,1.10188,2347,2,0,EURUSD
2024-01-02 05:00:00,1.10187,1.10248,1.10175,1.10245,1200,2,0,EURUSD
2024-01-02 06:00:00,1.10245,1.1025,1.10165,1.1020699999999999,935,2,0,EURUSD
2024-01-02 07:00:00,1.1020699999999999,1.10338,1.1020699999999999,1.10334,1544,2,0,EURUSD
2024-01-02 08:00:00,1.10336,1.10352,1.1026799999999999,1.10287,1670,2,0,EURUSD
2024-01-02 09:00:00,1.10287,1.10379,1.1015,1.10155,3788,2,0,EURUSD
2024-01-02 10:00:00,1.10155,1.10388,1.10155,1.10297,4853,2,0,EURUSD
2024-01-02 11:00:00,1.10296,1.10378,1.10106,1.10152,3621,2,0,EURUSD
2024-01-02 12:00:00,1.10151,1.10171,1.09971,1.1007500000000001,4055,2,0,EURUSD
2024-01-02 13:00:00,1.10074,1.10076,1.09665,1.09693,4935,2,0,EURUSD
2024-01-02 14:00:00,1.09694,1.0971899999999999,1.09537,1.09538,4128,2,0,EURUSD
2024-01-02 15:00:00,1.09538,1.0965,1.09494,1.09527,5262,2,0,EURUSD
2024-01-02 16:00:00,1.09527,1.09642,1.09448,1.09629,6858,2,0,EURUSD
2024-01-02 17:00:00,1.09631,1.09683,1.0941,1.09435,7741,2,0,EURUSD
2024-01-02 18:00:00,1.09436,1.09616,1.09408,1.09564,4522,2,0,EURUSD
2024-01-02 19:00:00,1.09564,1.09575,1.09457,1.09506,3121,2,0,EURUSD
2024-01-02 20:00:00,1.09506,1.09559,1.09462,1.09467,2831,2,0,EURUSD
